study.name,YofPub,group.name,n,cont.type,time,no.treat,cf.timely,ssci,setting,Ed.level,Age,Profic,Motiv.level,Ss.aware,Randassign,Group.Eq,rel.inter,rel.intra,Genre,Sourced,Timed,Location,Length,Gram.instruc,Grading,AccMeasure,Train.CF,error.type,scope,cf.type,error.key,source,revision,oral
Rummel_Bitchener,2015,D_1,10,2,1,2,1,0,2,3,2,2,99,99,0,0,0,0,6,0,1,0,2,99,99,1,99,3,2,0,99,99,2,0
Rummel_Bitchener,2015,D_2,10,2,3,2,1,0,2,3,2,2,99,99,0,0,0,0,6,0,1,0,2,99,99,1,99,3,2,0,99,99,2,0
Rummel_Bitchener,2015,Cod_1,10,2,1,2,1,0,2,3,2,2,99,99,0,0,0,0,6,0,1,0,2,99,99,1,99,3,2,2,99,99,2,0
Rummel_Bitchener,2015,Cod_2,10,2,3,2,1,0,2,3,2,2,99,99,0,0,0,0,6,0,1,0,2,99,99,1,99,3,2,2,99,99,2,0
Rummel_Bitchener,2015,M_1,11,2,1,2,1,0,2,3,2,2,99,99,0,0,0,0,6,0,1,0,2,99,99,1,99,3,2,3,99,99,2,0
Rummel_Bitchener,2015,M_2,11,2,3,2,1,0,2,3,2,2,99,99,0,0,0,0,6,0,1,0,2,99,99,1,99,3,2,3,99,99,2,0
Rummel_Bitchener,2015,C_1,11,2,1,0,88,0,2,3,2,2,99,99,0,0,0,0,6,0,1,0,2,99,99,1,99,88,88,88,99,99,2,0
Rummel_Bitchener,2015,C_2,11,2,3,0,88,0,2,3,2,2,99,99,0,0,0,0,6,0,1,0,2,99,99,1,99,88,88,88,99,99,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemati_Alavi_Mohebbi,2019,D_focused_1,27,0,1,4,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,14,0,3,2,0,88,1,1,0
Nemati_Alavi_Mohebbi,2019,D_focused_2,27,0,4,4,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,14,0,3,2,0,88,1,1,0
Nemati_Alavi_Mohebbi,2019,Ind_focused_1,29,0,1,4,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,14,0,3,2,1,88,1,1,0
Nemati_Alavi_Mohebbi,2019,Ind_focused_2,29,0,4,4,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,14,0,3,2,1,88,1,1,0
Nemati_Alavi_Mohebbi,2019,C_1,31,0,1,0,88,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,14,0,88,88,88,88,1,1,0
Nemati_Alavi_Mohebbi,2019,C_2,31,0,4,0,88,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,14,0,88,88,88,88,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim_Endley,2019,D_1,24,0,1,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,0,88,99,1,0
Karim_Endley,2019,D_2,24,0,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,0,88,99,1,0
Karim_Endley,2019,D_3,24,0,4,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,0,88,99,1,0
Karim_Endley,2019,L_1,23,0,1,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,1,88,99,1,0
Karim_Endley,2019,L_2,23,0,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,1,88,99,1,0
Karim_Endley,2019,L_3,23,0,4,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,1,88,99,1,0
Karim_Endley,2019,M_1,18,0,1,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,3,88,99,1,0
Karim_Endley,2019,M_2,18,0,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,3,88,99,1,0
Karim_Endley,2019,M_3,18,0,4,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,3,88,99,1,0
Karim_Endley,2019,C_1,21,0,1,0,88,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,88,88,88,88,99,1,0
Karim_Endley,2019,C_2,21,0,3,0,88,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,88,88,88,88,99,1,0
Karim_Endley,2019,C_3,21,0,4,0,88,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,88,88,88,88,99,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitchener_Young_Cameron,2005,D_oral_prep_1,19,1,4,3,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,2,1,7,88,1,99,1
Bitchener_Young_Cameron,2005,D_oral_past_1,19,1,4,3,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,3,1,7,88,1,99,1
Bitchener_Young_Cameron,2005,D_oral_art_1,19,1,4,3,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,1,1,7,88,1,99,1
Bitchener_Young_Cameron,2005,D_prep_1,17,1,4,3,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,2,1,0,88,1,99,0
Bitchener_Young_Cameron,2005,D_past_1,17,1,4,3,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,3,1,0,88,1,99,0
Bitchener_Young_Cameron,2005,D_art_1,17,1,4,3,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,1,1,0,88,1,99,0
Bitchener_Young_Cameron,2005,C_prep_1,17,1,4,0,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,88,88,88,88,1,99,0
Bitchener_Young_Cameron,2005,C_past_1,17,1,4,0,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,88,88,88,88,1,99,0
