study.name,dint,SD,time,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed
Al.Ahm_Al.Jar,0.533733731,0.428973233,1,2,0,88,3,2,1,0,99,2,99,1,99,5,0,1
Al.Ahm_Al.Jar,0.296116599,0.411446956,1,2,8,88,3,2,1,1,99,2,99,1,99,5,0,1
Al.Ahm_Al.Jar,-0.155386371,0.427282672,4,2,0,88,3,2,1,0,99,2,99,1,99,5,0,1
Al.Ahm_Al.Jar,0.131015334,0.446530421,4,2,8,88,3,2,1,1,99,2,99,1,99,5,0,1
Bitc_Knch_a,0.874010738,0.371222086,1,1,8,88,1,2,1,1,99,2,99,99,99,5,2,1
Bitc_Knch_a,1.285396952,0.40333727,1,1,8,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_a,1.381604308,0.397669727,1,1,0,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_a,0.395443907,0.380507799,4,1,8,88,1,2,1,1,99,2,99,99,99,5,2,1
Bitc_Knch_a,0.684121545,0.399303508,4,1,8,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_a,0.840489804,0.400006125,4,1,0,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_b,0.685256679,0.444827267,1,1,3,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,0.284456897,0.351095806,1,1,1,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,0.932902039,0.470538777,1,1,3,88,1,2,2,1,99,2,99,0,99,5,2,1
Bitc_Knch_b,0.723050548,0.444445834,4,1,3,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,0.260037973,0.349563908,4,1,1,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,1.075747788,0.482695388,4,1,3,88,1,2,2,1,99,2,99,0,99,5,2,1
Bitc_Knch_c,2.235800489,0.69946132,1,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,1.285650501,0.541014871,1,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,0.741619418,0.4687635,1,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,1.774779308,0.528278104,4,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,1.527499294,0.493643041,4,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,1.329490266,0.468652091,4,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,1.749524376,0.571686882,4,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,1.402530981,0.51879764,4,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,0.93191144,0.457890607,4,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,2.536171756,0.66973247,4,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,1.982114352,0.575164972,4,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,1.316569345,0.478458328,4,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Yng_Cmrn,0.659280404,0.344365969,3,1,8,88,2,3,1,1,99,1,2,2,1,6,99,1
Bitc_Yng_Cmrn,-0.493579287,0.380287024,3,1,0,88,2,3,1,0,99,1,2,2,1,6,99,1
Bitc_Yng_Cmrn,-0.515658588,0.346788731,3,1,8,88,3,3,1,1,99,1,2,2,1,6,99,1
Bitc_Yng_Cmrn,-0.697550641,0.357493084,3,1,0,88,3,3,1,0,99,1,2,2,1,6,99,1
Bitc_Yng_Cmrn,0.947639862,0.35715554,3,1,8,88,1,3,1,1,99,1,2,2,1,6,99,1
Bitc_Yng_Cmrn,0.011029969,0.351586848,3,1,0,88,1,3,1,0,99,1,2,2,1,6,99,1
Bonilla.etal,1.246187675,0.303965475,1,2,0,88,0,2,1,0,0,0,1,99,1,2,1,1
Bonilla.etal,0.809034722,0.283786861,1,2,2,1,0,2,1,0,0,0,1,99,1,2,1,1
Bonilla.etal,1.623845361,0.323159293,3,2,0,88,0,2,1,0,0,0,1,99,1,2,1,1
Bonilla.etal,0.922018218,0.285722416,3,2,2,1,0,2,1,0,0,0,1,99,1,2,1,1
Brown,0.557805006,0.23414391,2,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.593319027,0.23089702,2,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.41560229,0.222083627,2,2,0,88,1,2,1,0,1,1,2,0,1,2,1,1
Brown,-0.13246521,0.220819145,2,2,2,1,1,2,1,0,1,1,2,0,1,2,1,1
Brown,0.392256498,0.224653508,2,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.283194722,0.221417769,2,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.192419522,0.223099683,2,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.07492609,0.216306989,2,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.202292637,0.220465466,2,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.250094003,0.216792681,2,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.026080476,0.219603676,2,2,0,88,1,2,1,0,1,1,2,0,1,2,1,1
Brown,0.266946241,0.217964287,2,2,2,1,1,2,1,0,1,1,2,0,1,2,1,1
Brown,-0.209151391,0.221906034,2,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.663146847,0.225649343,2,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.079862511,0.227727369,2,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1
Brown,0.131716753,0.220122472,2,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1
Diab_a,0.319183845,0.360663634,1,2,8,1,10,2,1,0,99,2,99,1,0,2,1,1
Diab_a,0.284182247,0.340693103,1,2,3,1,10,2,1,0,99,2,99,1,0,2,1,1
Diab_a,0.965836203,0.52704105,1,2,8,1,10,2,1,0,99,2,99,1,0,2,1,1
Diab_a,0.262035634,0.418616151,1,2,3,1,10,2,1,0,99,2,99,1,0,2,1,1
Diab_a,0.244790562,0.357455173,4,2,8,1,10,2,1,0,99,2,99,1,0,2,1,1
Diab_a,0.048659745,0.351927671,4,2,3,1,10,2,1,0,99,2,99,1,0,2,1,1
Diab_a,1.261932069,0.507562201,4,2,8,1,10,2,1,0,99,2,99,1,0,2,1,1
Diab_a,0.298658832,0.375230478,4,2,3,1,10,2,1,0,99,2,99,1,0,2,1,1
Diab_b,-0.024168502,0.331873205,1,2,3,88,10,2,1,0,99,2,99,1,0,77,99,1
Diab_b,0.056862759,0.368207121,1,2,3,88,10,2,1,0,99,2,99,1,0,77,99,1
Diab_b,0.354332656,0.345575649,4,2,3,88,10,2,1,0,99,2,99,1,0,77,99,1
Diab_b,-0.660567454,0.342985991,4,2,3,88,10,2,1,0,99,2,99,1,0,77,99,1
Dlsk_Krlr,0.121189025,0.162382028,2,2,1,88,0,2,1,0,99,1,99,0,0,99,1,1
Dlsk_Krlr,0.371773794,0.166018302,2,2,1,88,0,2,1,0,99,1,99,0,1,99,1,1
Dlsk_Krlr,0.393664307,0.171342346,2,2,1,88,0,2,1,0,99,1,99,0,0,99,1,1
Dlsk_Krlr,0.231431157,0.173535564,2,2,1,88,0,2,1,0,99,1,99,0,1,99,1,1
Eki_diGnro,0.015005115,0.373254756,1,1,0,88,1,2,1,0,99,2,99,0,99,5,2,0
Eki_diGnro,-0.547737751,0.348766871,1,1,8,88,1,2,1,0,99,2,99,0,99,5,2,0
Eki_diGnro,0.096980711,0.361205696,4,1,0,88,1,2,1,0,99,2,99,0,99,5,2,0
Eki_diGnro,-0.23525278,0.343511822,4,1,8,88,1,2,1,0,99,2,99,0,99,5,2,0
Elis_Sh_Mur_Tak,-0.01302163,0.487330082,1,2,0,88,1,2,1,0,99,2,99,0,0,5,2,0
Elis_Sh_Mur_Tak,0.714488556,0.539989814,1,2,0,88,1,2,1,0,99,0,99,0,0,5,2,0
Elis_Sh_Mur_Tak,1.885728811,0.701844166,3,2,0,88,1,2,1,0,99,2,99,0,0,5,2,0
Elis_Sh_Mur_Tak,1.132933004,0.53204739,3,2,0,88,1,2,1,0,99,0,99,0,0,5,2,0
Ev_Hart_StngKras,1.093603367,0.416996579,2,1,2,1,0,2,2,0,99,0,1,1,99,2,1,1
Fazio,-0.130891968,0.364278678,2,1,0,88,0,0,99,0,99,1,99,99,99,6,2,0
Fazio,-0.546790608,0.391523434,2,1,1,88,0,0,99,0,99,1,99,99,99,6,2,0
