study.name,group.name,Setting,prof,scope,type,error.type,randassign,,Setting,prof,scope,type,error.type,randassign
Shin.Ellis,ME.short,1,2,1,1,1,1,,1,2,1,1,1,1
Shin.Ellis,DCF.short,1,2,1,2,1,1,,1,2,1,1,1,1
Shin.Ellis,Cont.short,1,2,NA,NA,1,1,,1,2,NA,NA,1,1
Trus.Hsu,Exper,2,2,2,1,0,0,,2,2,1,1,2,0
Trus.Hsu,Cont,2,2,NA,NA,0,0,,2,2,NA,NA,2,0
Bit.KnoA,Meta.short,1,3,1,1,1,0,,1,3,1,1,1,0
Bit.KnoA,Ind.short,1,3,1,1,1,0,,1,3,1,1,1,0
Bit.KnoA,MFo.short,1,3,1,2,1,0,,1,3,1,2,1,0
Bit.KnoA,Cont.short,1,3,NA,NA,1,0,,1,3,NA,NA,1,0
SheenA,Dir.short,1,2,2,2,1,NA,,1,2,2,2,1,0
SheenA,MF.short,1,2,2,2,1,NA,,1,2,2,1,1,0
SheenA,Cont.short,1,2,NA,NA,1,NA,,1,2,NA,NA,1,0
Bit.KnoB,gr1.short,1,2,2,1,1,0,,1,2,2,2,1,0
Bit.KnoB,gr2.short,1,2,2,1,1,0,,1,2,2,1,1,0
Bit.KnoB,gr3.short,1,2,2,1,1,0,,1,2,2,3,1,0
Bit.KnoB,Cont.short,1,2,NA,NA,1,0,,1,2,NA,NA,1,0
ChandlerA,Exper,1,2,2,4,0,NA,,1,2,1,4,0,NA
ChandlerA,Cont,1,2,NA,NA,0,NA,,1,2,NA,NA,0,NA
Mubarak,grA.short,2,NA,2,4,0,1,,2,NA,2,4,0,1
Mubarak,grB.short,2,NA,2,2,0,1,,2,NA,2,2,0,1
Mubarak,Cont.short,2,NA,NA,NA,0,1,,2,NA,NA,NA,0,1
Sun,focus.short,2,2,1,1,2,1,,2,2,1,2,2,1
Sun,unfo.short,2,2,2,1,0,1,,2,2,2,2,0,1
Sun,cont.short,2,2,NA,NA,NA,1,,2,2,NA,NA,2,1
