es.type,id,dint,var,ESL,prof,scope,type,weeks
SHORT,1,0.685256679,0.191892773,1,3,1,1,2
SHORT,1,0.284456897,0.12292368,1,3,1,1,2
SHORT,1,0.932902039,0.210912064,1,3,1,1,2
DEL1,1,0.723050548,0.191348874,1,3,1,1,3
DEL1,1,0.260037973,0.122269115,1,3,1,2,3
DEL1,1,1.075747788,0.22125185,1,3,1,2,3
SHORT,2,2.235800489,0.434661928,1,2,2,1,1
SHORT,2,1.285650501,0.270810247,1,2,2,1,1
SHORT,2,0.741619418,0.209815652,1,2,2,1,1
DEL1,2,1.774779308,0.257311601,1,2,2,1,3
DEL1,2,1.527499294,0.229874285,1,2,2,1,3
DEL1,2,1.329490266,0.209167028,1,2,2,1,3
DEL2,2,1.749524376,0.298123841,1,2,2,1,7
DEL2,2,1.402530981,0.251143058,1,2,2,1,7
DEL2,2,0.93191144,0.200672034,1,2,2,1,7
SHORT,3,0.874010738,0.134042931,1,3,1,1,1
SHORT,3,1.285396952,0.156420676,1,3,1,1,1
SHORT,3,1.381604308,0.152614365,1,3,1,1,1
SHORT,3,1.431494009,0.180918058,1,3,1,1,1
SHORT,3,1.222271735,0.156966803,1,3,1,2,1
SHORT,3,0.987349966,0.15877572,1,3,1,2,1
DEL1,3,0.395443907,0.139762625,1,3,1,1,4
DEL1,3,0.684121545,0.153093134,1,3,1,1,4
DEL1,3,0.840489804,0.155017719,1,3,1,1,4
DEL1,3,2.365080973,0.241765864,1,3,1,1,4
DEL1,3,1.211820168,0.13428102,1,3,1,2,4
DEL1,3,1.453399099,0.166506952,1,3,1,2,4
SHORT,4,1.209022016,0.165469628,1,2,2,4,1
SHORT,5,-0.01302163,0.22664755,2,2,1,2,1
SHORT,5,0.714488556,0.271998177,2,2,1,2,1
DEL1,5,1.885728811,0.432021454,2,2,2,2,3
DEL1,5,1.132933004,0.264768375,2,2,2,2,3
SHORT,6,0.917324928,0.166236104,2,2,2,4,2
SHORT,6,0.102084383,0.140469519,2,2,2,4,2
SHORT,6,0.755188343,0.210679846,2,2,2,2,2
SHORT,6,1.176033455,0.263776344,2,2,2,2,2
SHORT,6,0.528774788,0.200319152,2,2,2,2,2
SHORT,6,-0.118904904,0.168776586,2,2,2,2,2
SHORT,6,-0.088344593,0.156047656,2,2,2,4,2
SHORT,6,0.539086991,0.191810184,2,2,2,4,2
DEL1,6,0.985088561,0.152475527,2,2,2,4,4
DEL1,6,0.740817728,0.151068188,2,2,2,4,4
DEL1,6,0.492667996,0.174163918,2,2,2,2,4
DEL1,6,1.369547948,0.26351344,2,2,2,2,4
DEL1,6,0.199365978,0.156296831,2,2,2,2,4
DEL1,6,-0.165869293,0.149633502,2,2,2,2,4
DEL1,6,-0.361055682,0.157650942,2,2,2,4,4
DEL1,6,0.266135313,0.187869656,2,2,2,4,4
SHORT,7,0.827999907,0.088723181,1,2,2,2,1
SHORT,7,0.761571107,0.085679859,1,2,2,2,1
DEL1,7,0.885438946,0.087969632,1,2,2,2,3
DEL1,7,1.129269152,0.095181157,1,2,2,2,3
SHORT,8,1.232360511,0.191618645,1,2,1,1,2
SHORT,8,0.601111073,0.137863034,1,2,1,1,2
DEL1,8,0.051981817,0.140573748,1,2,1,2,5
DEL1,8,0.250958077,0.132882105,1,2,1,2,5
SHORT,9,0.142016865,0.212672348,2,2,1,2,2
SHORT,9,-0.788368867,0.1995645,2,2,1,2,2
DEL1,9,0.736287357,0.229324183,2,2,2,2,4
DEL1,9,0.094911369,0.183880974,2,2,2,2,4
SHORT,10,-0.082745787,0.114135302,2,2,2,1,2
