study.name,group.name,n,d,t.pair,df,mdif,sdif,mpre,sdpre,mpos,sdpos,r,rev.sign,rev.group,autoreg,post,control,outcome,ESL,prof,scope,type
Shin.Ellis,ME.short,13,NA,NA,NA,NA,NA,0.34,0.37,0.72,0.34,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,2,1,1
Shin.Ellis,ME.long,13,NA,NA,NA,NA,NA,0.34,0.37,0.39,0.36,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,2,1,1
Shin.Ellis,DCF.short,15,NA,NA,NA,NA,NA,0.37,0.38,0.54,0.36,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,2,1,2
Shin.Ellis,DCF.long,15,NA,NA,NA,NA,NA,0.37,0.38,0.49,0.36,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,2,1,2
Shin.Ellis,Cont.short,16,NA,NA,NA,NA,NA,0.32,0.37,0.28,0.36,NA,FALSE,FALSE,FALSE,1,TRUE,1,1,2,NA,NA
Shin.Ellis,Cont.long,16,NA,NA,NA,NA,NA,0.32,0.37,0.35,0.32,NA,FALSE,FALSE,FALSE,2,TRUE,1,1,2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
Trus.Hsu,Exper,21,NA,NA,NA,NA,NA,0.0799,0.0367,0.113,0.0472,NA,TRUE,FALSE,FALSE,1,FALSE,1,2,2,2,1
Trus.Hsu,Cont,26,NA,NA,NA,NA,NA,0.0763,0.0389,0.1095,0.0537,NA,TRUE,FALSE,FALSE,1,TRUE,1,2,2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
Bit.KnoA,Meta.short,12,NA,NA,NA,NA,NA,87.08,13.22,95.92,5.48,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,3,1,1
Bit.KnoA,Meta.long,12,NA,NA,NA,NA,NA,87.08,13.22,96.25,4,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,3,1,1
Bit.KnoA,Ind.short,27,NA,NA,NA,NA,NA,90.59,8.79,93.18,4.71,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,3,1,1
Bit.KnoA,Ind.Long,27,NA,NA,NA,NA,NA,90.59,8.79,92.76,6.8,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,3,1,1
Bit.KnoA,MFo.short,12,NA,NA,NA,NA,NA,83.08,12.49,94.17,5.15,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,3,1,2
Bit.KnoA,MFo.long,12,NA,NA,NA,NA,NA,83.08,12.49,95.33,5.09,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,3,1,2
Bit.KnoA,Cont.short,12,NA,NA,NA,NA,NA,85.58,8.89,86.17,8.08,NA,FALSE,FALSE,FALSE,1,TRUE,1,1,3,NA,NA
Bit.KnoA,Cont.long,12,NA,NA,NA,NA,NA,85.58,8.89,85.92,11.87,NA,FALSE,FALSE,FALSE,2,TRUE,1,1,3,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
SheenA,Dir.short,31,NA,NA,NA,NA,NA,44.1,11.9,58.3,15.3,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,2,2,2
SheenA,Dir.long,31,NA,NA,NA,NA,NA,44.1,11.9,57.5,14.4,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,2,2,2
SheenA,MF.short,32,NA,NA,NA,NA,NA,49.6,16.9,65.4,16.3,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,2,2,2
SheenA,MF.long,32,NA,NA,NA,NA,NA,49.6,16.9,69.4,15.3,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,2,2,2
SheenA,Cont.short,28,NA,NA,NA,NA,NA,48.3,14.2,52.1,15.6,NA,FALSE,FALSE,FALSE,1,TRUE,1,1,2,NA,NA
SheenA,Cont.long,28,NA,NA,NA,NA,NA,48.3,14.2,51.2,16.2,NA,FALSE,FALSE,FALSE,2,TRUE,1,1,2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
Bit.KnoB,gr1.short,13,NA,NA,NA,NA,NA,62.46,11.98,89.23,8.22,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,2,2,1
Bit.KnoB,gr1.long1,13,NA,NA,NA,NA,NA,62.46,11.98,79.61,10.29,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,2,2,1
Bit.KnoB,gr1.long2,13,NA,NA,NA,NA,NA,62.46,11.98,84.31,12.33,NA,FALSE,FALSE,FALSE,3,FALSE,1,1,2,2,1
