"study.name","dint","SD","id","YofPub","cont.type","time","treatments","cf.timely","ssci","setting","ed.level","Age","profic","motivation","Ss.aware","random.grp","equiv.grp","rel.inter","rel.intra","genre","sourced","timed","Location","Length","instruction","graded","acc.measure","cf.training","error.type","cf.scope","cf.type","error.key","cf.provider","cf.revision","cf.oral"
"Al.Ahm_Al.Jar",0.533733731,0.422840256,1,2015,1,0,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,3,2,0,88,0,0,0
"Al.Ahm_Al.Jar",0.296116599,0.411233175,1,2015,1,8,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,3,2,0,88,0,0,0
"Al.Ahm_Al.Jar",-0.155386371,0.424031783,1,2015,1,0,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,3,2,8,88,0,0,1
"Al.Ahm_Al.Jar",0.131015334,0.43812814,1,2015,1,8,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,3,2,8,88,0,0,1
"Al_Ajmi",3.444226818,0.216759206,2,2015,1,0,2,0,0,2,2,2,1,99,99,0,1,1,99,9,0,99,99,0,99,99,10,99,2,2,8,88,0,99,1
"Al_Ajmi",4.376457433,0.208098771,2,2015,1,2,2,0,0,2,2,2,1,99,99,0,1,1,99,9,0,99,99,0,99,99,10,99,2,2,8,88,0,99,1
"Bitc_Knch_a",0.874010738,0.365601974,3,2008,0,0,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
"Bitc_Knch_a",1.285396952,0.395247037,3,2008,0,7,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
"Bitc_Knch_a",1.381604308,0.391688085,3,2008,0,0,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0
"Bitc_Knch_a",0.395443907,0.378129785,3,2008,0,7,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0
"Bitc_Knch_a",0.684121545,0.390740773,3,2008,0,0,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0
"Bitc_Knch_a",0.840489804,0.393398547,3,2008,0,7,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0
"Bitc_Knch_b",0.685256679,0.435388494,4,2010,0,0,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0
"Bitc_Knch_b",0.284456897,0.35349125,4,2010,0,9,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0
"Bitc_Knch_b",0.932902039,0.460757079,4,2010,0,0,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0
"Bitc_Knch_b",0.723050548,0.435024862,4,2010,0,9,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0
"Bitc_Knch_b",0.260037973,0.343188921,4,2010,0,0,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1
