"study.name","dint","SD","setting","cf.type","error.key","error.type","ed.level","profic","cf.oral","cf.training","cf.scope","Length","instruction","graded","genre","cf.revision","timed"
"Al.Ahm_Al.Jar",0.5337337,0.4236021,"2","0","88","3","2","1","0","99","2","99","1","99","5","0","1"
"Al.Ahm_Al.Jar",0.2961166,0.4033627,"2","0","88","3","2","1","0","99","2","99","1","99","5","0","1"
"Al.Ahm_Al.Jar",-0.1553864,0.42248,"2","8","88","3","2","1","1","99","2","99","1","99","5","0","1"
"Al.Ahm_Al.Jar",0.1310153,0.4411599,"2","8","88","3","2","1","1","99","2","99","1","99","5","0","1"
"Al_Ajmi",3.4442268,0.5297462,"2","8","88","2","2","1","1","99","2","1","99","99","6","99","99"
"Al_Ajmi",4.3764574,0.6906625,"2","8","88","2","2","1","1","99","2","1","99","99","6","99","99"
"Bitc_Knch_a",0.8740107,0.3681992,"1","8","88","1","2","1","1","99","2","99","99","99","5","2","1"
"Bitc_Knch_a",1.285397,0.3968515,"1","8","88","1","2","1","1","99","2","99","99","99","5","2","1"
"Bitc_Knch_a",1.3816043,0.3908752,"1","8","88","1","2","1","0","99","2","99","99","99","5","2","1"
"Bitc_Knch_a",0.3954439,0.3786338,"1","8","88","1","2","1","0","99","2","99","99","99","5","2","1"
"Bitc_Knch_a",0.6841215,0.3880958,"1","0","88","1","2","1","0","99","2","99","99","99","5","2","1"
"Bitc_Knch_a",0.8404898,0.3917391,"1","0","88","1","2","1","0","99","2","99","99","99","5","2","1"
"Bitc_Knch_b",0.6852567,0.440397,"1","3","88","1","2","2","0","99","2","99","0","99","5","2","1"
"Bitc_Knch_b",0.2844569,0.3518753,"1","3","88","1","2","2","0","99","2","99","0","99","5","2","1"
"Bitc_Knch_b",0.932902,0.4624913,"1","1","88","1","2","2","0","99","2","99","0","99","5","2","1"
"Bitc_Knch_b",0.7230505,0.4417848,"1","1","88","1","2","2","0","99","2","99","0","99","5","2","1"
"Bitc_Knch_b",0.260038,0.3484685,"1","3","88","1","2","2","1","99","2","99","0","99","5","2","1"
"Bitc_Knch_b",1.0757478,0.4725088,"1","3","88","1","2","2","1","99","2","99","0","99","5","2","1"
"Bitc_Knch_c",2.2358005,0.6633109,"1","8","88","1","2","1","1","0","2","99","1","99","5","0","1"
"Bitc_Knch_c",1.2856505,0.5211989,"1","8","88","1","2","1","1","0","2","99","1","99","5","0","1"
"Bitc_Knch_c",0.7416194,0.456087,"1","8","88","1","2","1","1","0","2","99","1","99","5","0","1"
"Bitc_Knch_c",1.7747793,0.5120328,"1","8","88","1","2","1","1","0","2","99","1","99","5","0","1"
"Bitc_Knch_c",1.5274993,0.4807983,"1","8","88","1","2","1","0","0","2","99","0","99","5","0","1"
"Bitc_Knch_c",1.3294903,0.4584314,"1","8","88","1","2","1","0","0","2","99","0","99","5","0","1"
"Bitc_Knch_c",1.7495244,0.5420221,"1","8","88","1","2","1","0","0","2","99","0","99","5","0","1"
"Bitc_Knch_c",1.402531,0.4967763,"1","8","88","1","2","1","0","0","2","99","0","99","5","0","1"
"Bitc_Knch_c",0.9319114,0.4471395,"1","0","88","1","2","1","0","0","2","99","0","99","5","0","1"
"Bitc_Knch_c",2.5361718,0.6337733,"1","0","88","1","2","1","0","0","2","99","0","99","5","0","1"
"Bitc_Knch_c",1.9821144,0.5501579,"1","0","88","1","2","1","0","0","2","99","0","99","5","0","1"
"Bitc_Knch_c",1.3165693,0.4581617,"1","0","88","1","2","1","0","0","2","99","0","99","5","0","1"
"Bitc_Yng_Cmrn",0.6592804,0.3472211,"1","8","88","2","3","1","1","99","1","2","2","1","6","99","1"
"Bitc_Yng_Cmrn",-0.4935793,0.3746386,"1","8","88","3","3","1","1","99","1","2","2","1","6","99","1"
"Bitc_Yng_Cmrn",-0.5156586,0.3479204,"1","8","88","1","3","1","1","99","1","2","2","1","6","99","1"
"Bitc_Yng_Cmrn",-0.6975506,0.356828,"1","0","88","2","3","1","0","99","1","2","2","1","6","99","1"
"Bitc_Yng_Cmrn",0.9476399,0.3550895,"1","0","88","3","3","1","0","99","1","2","2","1","6","99","1"
"Bitc_Yng_Cmrn",0.01103,0.3521868,"1","0","88","1","3","1","0","99","1","2","2","1","6","99","1"
"Bonilla.etal",1.2461877,0.2993365,"2","0","88","0","2","1","0","0","0","1","99","1","2","1","1"
"Bonilla.etal",0.8090347,0.2834235,"2","0","88","0","2","1","0","0","0","1","99","1","2","1","1"
"Bonilla.etal",1.6238454,0.3164201,"2","2","1","0","2","1","0","0","0","1","99","1","2","1","1"
"Bonilla.etal",0.9220182,0.2862723,"2","2","1","0","2","1","0","0","0","1","99","1","2","1","1"
"Brown",0.557805,0.2338801,"2","0","88","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.593319,0.2286606,"2","0","88","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.4156023,0.2212839,"2","0","88","1","2","1","0","1","1","2","0","1","2","1","1"
"Brown",-0.1324652,0.2187214,"2","0","88","1","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.3922565,0.2221954,"2","0","88","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.2831947,0.2194392,"2","0","88","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.1924195,0.222538,"2","0","88","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.0749261,0.2163508,"2","0","88","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.2022926,0.2195302,"2","2","1","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.250094,0.2164109,"2","2","1","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.0260805,0.2219664,"2","2","1","1","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.2669462,0.2155619,"2","2","1","1","2","1","0","1","1","2","0","1","2","1","1"
"Brown",-0.2091514,0.2206653,"2","2","1","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.6631468,0.2241901,"2","2","1","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.0798625,0.2260784,"2","2","1","10","2","1","0","1","1","2","0","1","2","1","1"
"Brown",0.1317168,0.2196615,"2","2","1","10","2","1","0","1","1","2","0","1","2","1","1"
"Diab_a",0.3191838,0.3524984,"2","8","1","10","2","1","0","99","2","99","1","0","2","1","1"
"Diab_a",0.2841822,0.3405457,"2","8","1","10","2","1","0","99","2","99","1","0","2","1","1"
"Diab_a",0.9658362,0.5089763,"2","8","1","10","2","1","0","99","2","99","1","0","2","1","1"
"Diab_a",0.2620356,0.4086825,"2","8","1","10","2","1","0","99","2","99","1","0","2","1","1"
"Diab_a",0.2447906,0.3522007,"2","3","1","10","2","1","0","99","2","99","1","0","2","1","1"
"Diab_a",0.0486597,0.3456494,"2","3","1","10","2","1","0","99","2","99","1","0","2","1","1"
"Diab_a",1.2619321,0.4901334,"2","3","1","10","2","1","0","99","2","99","1","0","2","1","1"
"Diab_a",0.2986588,0.3744019,"2","3","1","10","2","1","0","99","2","99","1","0","2","1","1"
"Diab_b",-0.0241685,0.3334254,"2","3","88","10","2","1","0","99","2","99","1","0","77","99","1"
"Diab_b",0.0568628,0.3657204,"2","3","88","10","2","1","0","99","2","99","1","0","77","99","1"
"Diab_b",0.3543327,0.3458383,"2","3","88","10","2","1","0","99","2","99","1","0","77","99","1"
"Diab_b",-0.6605675,0.3422056,"2","3","88","10","2","1","0","99","2","99","1","0","77","99","1"
"Dlsk_Krlr",0.121189,0.1621494,"2","1","88","0","2","1","0","99","1","99","0","0","99","1","1"
"Dlsk_Krlr",0.3717738,0.163903,"2","1","88","0","2","1","0","99","1","99","0","0","99","1","1"
"Dlsk_Krlr",0.3936643,0.1721838,"2","1","88","0","2","1","0","99","1","99","0","1","99","1","1"
"Dlsk_Krlr",0.2314312,0.1728993,"2","1","88","0","2","1","0","99","1","99","0","1","99","1","1"
"Eki_diGnro",-0.0150051,0.3618296,"1","0","88","1","2","1","0","99","2","99","0","99","5","2","0"
"Eki_diGnro",0.5477378,0.3438489,"1","0","88","1","2","1","0","99","2","99","0","99","5","2","0"
"Eki_diGnro",-0.0969807,0.3603001,"1","8","88","1","2","1","0","99","2","99","0","99","5","2","0"
"Eki_diGnro",0.2352528,0.3380191,"1","8","88","1","2","1","0","99","2","99","0","99","5","2","0"
"Elis_Sh_Mur_Tak",-0.0130216,0.4791665,"2","0","88","1","2","1","0","99","2","99","0","0","5","2","0"
"Elis_Sh_Mur_Tak",0.7144886,0.5204644,"2","0","88","1","2","1","0","99","2","99","0","0","5","2","0"
"Elis_Sh_Mur_Tak",1.8857288,0.6558994,"2","0","88","1","2","1","0","99","0","99","0","0","5","2","0"
"Elis_Sh_Mur_Tak",1.132933,0.5168186,"2","0","88","1","2","1","0","99","0","99","0","0","5","2","0"
"Ev_Hart_StngKras",1.0936034,0.4129394,"1","2","1","0","2","2","0","99","0","1","1","88","2","1","1"
"Fazio",-0.130892,0.3631662,"1","0","88","0","0","77","0","99","1","99","99","99","6","2","0"
"Fazio",-0.5467906,0.38699,"1","1","88","0","0","77","0","99","1","99","99","99","6","2","0"
"Frear_Chiu",1.0485025,0.4540094,"2","1","88","2","2","99","0","0","2","99","99","0","5","0","0"
"Frear_Chiu",1.1609789,0.4414852,"2","1","88","2","2","99","0","0","2","99","99","0","5","0","0"
"Frear_Chiu",1.0507744,0.4365638,"2","1","88","2","2","99","0","0","2","99","99","0","5","0","0"
"Frear_Chiu",0.9881051,0.4112235,"2","1","88","2","2","99","0","0","2","99","99","0","5","0","0"
"Guo",0.6348017,0.289955,"2","1","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.9076638,0.3082282,"2","1","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.9928717,0.3129108,"2","1","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",1.2790014,0.3310509,"2","2","1","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.9394399,0.3140943,"2","2","1","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.3649804,0.2882316,"2","2","1","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.5434674,0.2933164,"2","3","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.346734,0.288163,"2","3","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.9225743,0.3172823,"2","3","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.4973949,0.2954339,"2","0","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.9395114,0.3117115,"2","0","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.2159263,0.2809199,"2","0","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.8525524,0.3096703,"2","8","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.680117,0.2992271,"2","8","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Guo",0.7709437,0.3054809,"2","8","88","0","2","1","0","0","1","1","0","0","5","0","1"
"Harts_Evans",0.9936019,0.4421879,"1","2","1","0","2","1","0","99","0","99","1","0","2","1","1"
"Hartshorn",0.8304661,0.3094483,"1","2","1","1","2","2","0","1","0","1","1","0","2","1","0"
"Hartshorn",0.9482234,0.3127657,"1","2","1","1","2","2","0","1","0","1","1","0","2","1","0"
"Hartshorn",0.3817407,0.3035659,"1","2","1","10","2","2","0","1","0","1","1","0","2","1","0"
"Hartshorn",-0.250819,0.2998407,"1","2","1","10","2","2","0","1","0","1","1","0","2","1","0"
"Jiang_Xiao",1.0680665,0.3082166,"2","0","88","1","2","1","0","1","2","1","0","88","5","99","1"
"Jiang_Xiao",0.6699853,0.2771964,"2","0","88","1","2","1","0","1","2","1","0","88","5","99","1"
"Jiang_Xiao",1.3021982,0.3232879,"2","0","88","1","2","1","0","1","2","1","0","88","5","99","1"
"Jiang_Xiao",0.7841841,0.2810606,"2","0","88","1","2","1","0","1","2","1","0","88","5","99","1"
"Karim_End.",-0.4503802,0.3059857,"2","0","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_End.",-1.4367287,0.3680921,"2","0","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_End.",0.348525,0.3217231,"2","0","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_End.",-1.060784,0.3517754,"2","1","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_End.",-1.8876103,0.4300735,"2","1","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_End.",-0.3292314,0.3302307,"2","1","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_End.",-0.7961556,0.3308775,"2","3","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_End.",-1.4271563,0.3884632,"2","3","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_End.",0.2824068,0.320097,"2","3","88","2","2","1","0","99","2","1","99","99","5","1","1"
"Karim_Nas.",0.1612159,0.4039394,"1","0","88","0","2","1","0","99","0","1","99","1","5","1","1"
"Karim_Nas.",0.1226661,0.4195775,"1","1","88","0","2","1","0","99","0","1","99","1","5","1","1"
"Karim_Nas.",0.7107223,0.4567095,"1","2","88","0","2","1","0","99","0","1","99","1","5","1","1"
"Kassim_Ng",0.8567882,0.2761659,"2","1","88","2","2","1","0","99","2","2","0","0","5","99","1"
"Kassim_Ng",1.3068494,0.3026465,"2","1","88","2","2","1","0","99","2","2","0","0","5","99","1"
"Kassim_Ng",0.9412334,0.2808774,"2","1","88","2","2","1","0","99","2","2","0","0","5","99","1"
"Kassim_Ng",1.2743159,0.2991052,"2","1","88","2","2","1","0","99","2","2","0","0","5","99","1"
"Mubarak",0.9173249,0.4091096,"2","0","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",0.1020844,0.3780322,"2","0","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",0.7551883,0.4585801,"2","0","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",1.1760335,0.5201585,"2","0","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",0.5287748,0.4470819,"2","0","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",-0.1189049,0.4081995,"2","0","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",-0.0883446,0.3933194,"2","0","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",0.539087,0.4355457,"2","0","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",0.9850886,0.3906402,"2","1","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",0.7408177,0.384157,"2","1","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",-0.492668,0.4203282,"2","1","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",-1.3695479,0.5101832,"2","1","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",0.2064641,0.3940776,"2","1","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",-0.1587712,0.3863579,"2","1","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",-0.3610557,0.4003165,"2","1","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Mubarak",0.2661353,0.4362008,"2","1","88","0","2","0","0","99","0","1","99","0","77","1","1"
"Munoz",0.4898987,0.3288304,"2","2","1","0","2","99","0","1","2","2","1","1","5","1","1"
"Munoz",-0.1428038,0.3332894,"2","1","88","0","2","99","0","1","2","2","1","1","5","1","1"
"Nakazawa",0.6207107,0.4474814,"2","0","88","0","2","0","0","0","1","1","1","0","6","1","99"
"Nakazawa",0.5270074,0.4381574,"2","2","1","0","2","0","0","0","1","1","1","0","6","1","99"
"Nakazawa",0.2072256,0.4521443,"2","15","88","0","2","0","0","0","1","1","1","0","6","1","99"
"Nemati_etal",4.6135844,0.5274976,"2","0","88","3","3","0","0","0","2","99","0","99","77","1","1"
"Nemati_etal",2.3758261,0.3550985,"2","0","88","3","3","0","0","0","2","99","0","99","77","1","1"
"Nemati_etal",5.0930621,0.5622614,"2","1","88","3","3","0","0","0","2","99","0","99","77","1","1"
