id,study.name,dint,SD,YofPub,cont.type,outcome,time,treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral
1,Al.Ahm_Al.Jar,0.5337337,0.4239744,2015,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0
1,Al.Ahm_Al.Jar,0.2961166,0.4076441,2015,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0
1,Al.Ahm_Al.Jar,-0.1553864,0.4165823,2015,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1
1,Al.Ahm_Al.Jar,0.1310153,0.4393992,2015,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1
2,Al_Ajmi,3.4442268,0.5334677,2015,1,1,1,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1
2,Al_Ajmi,4.3764574,0.6966978,2015,1,1,2,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1
3,Bitc_Knch_a,0.8740107,0.3687394,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
3,Bitc_Knch_a,1.285397,0.3985488,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
3,Bitc_Knch_a,1.3816043,0.3908827,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0
3,Bitc_Knch_a,0.3954439,0.3720154,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0
3,Bitc_Knch_a,0.6841215,0.3943225,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0
3,Bitc_Knch_a,0.8404898,0.394819,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0
4,Bitc_Knch_b,0.6852567,0.4393466,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0
4,Bitc_Knch_b,0.2844569,0.3522776,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0
4,Bitc_Knch_b,0.932902,0.4617197,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0
4,Bitc_Knch_b,0.7230505,0.4395221,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0
4,Bitc_Knch_b,0.260038,0.3501025,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1
4,Bitc_Knch_b,1.0757478,0.4648278,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1
5,Bitc_Knch_c,2.2358005,0.6668823,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
5,Bitc_Knch_c,1.2856505,0.5270765,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
5,Bitc_Knch_c,0.7416194,0.4560519,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
5,Bitc_Knch_c,1.7747793,0.511748,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
5,Bitc_Knch_c,1.5274993,0.4849871,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
5,Bitc_Knch_c,1.3294903,0.4548605,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
5,Bitc_Knch_c,1.7495244,0.5463729,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
5,Bitc_Knch_c,1.402531,0.5011187,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
5,Bitc_Knch_c,0.9319114,0.4509639,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
5,Bitc_Knch_c,2.5361718,0.6396839,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
5,Bitc_Knch_c,1.9821144,0.5510234,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
5,Bitc_Knch_c,1.3165693,0.4697078,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
6,Bitc_Yng_Cmrn,0.6592804,0.3383479,2005,1,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,8,88,1,99,1
6,Bitc_Yng_Cmrn,-0.4935793,0.3727905,2005,1,2,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,8,88,1,99,1
6,Bitc_Yng_Cmrn,-0.5156586,0.3446442,2005,1,3,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,8,88,1,99,1
6,Bitc_Yng_Cmrn,-0.6975506,0.3572763,2005,1,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,0,88,1,99,0
6,Bitc_Yng_Cmrn,0.9476399,0.3523702,2005,1,2,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,0,88,1,99,0
6,Bitc_Yng_Cmrn,0.01103,0.3471375,2005,1,3,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,0,88,1,99,0
7,Bonilla.etal,1.2461877,0.302368,2018,2,1,1,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0
7,Bonilla.etal,0.8090347,0.2833483,2018,2,1,3,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0
7,Bonilla.etal,1.6238454,0.3242478,2018,2,1,1,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0
7,Bonilla.etal,0.9220182,0.283868,2018,2,1,3,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0
8,Brown,0.557805,0.2303358,2017,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
8,Brown,0.593319,0.2314085,2017,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
8,Brown,0.4156023,0.2246789,2017,1,2,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0
8,Brown,-0.1324652,0.2206097,2017,1,2,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0
8,Brown,0.3922565,0.2245249,2017,1,3,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
8,Brown,0.2831947,0.2218574,2017,1,3,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
8,Brown,0.1924195,0.2218433,2017,1,4,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
8,Brown,0.0749261,0.2183424,2017,1,4,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
8,Brown,0.2022926,0.2190921,2017,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
8,Brown,0.250094,0.2172644,2017,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
8,Brown,0.0260805,0.2181084,2017,1,2,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0
8,Brown,0.2669462,0.2172231,2017,1,2,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0
8,Brown,-0.2091514,0.2212514,2017,1,3,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
8,Brown,0.6631468,0.2247612,2017,1,3,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
8,Brown,0.0798625,0.2269148,2017,1,4,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
8,Brown,0.1317168,0.2173713,2017,1,4,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
9,Diab_a,0.3191838,0.359659,2015,2,1,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0
9,Diab_a,0.2841822,0.3377757,2015,2,1,4,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0
9,Diab_a,0.9658362,0.5138195,2015,2,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0
9,Diab_a,0.2620356,0.4122606,2015,2,2,4,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0
9,Diab_a,0.2447906,0.351671,2015,2,1,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,3,1,0,1,0
9,Diab_a,0.0486597,0.3503167,2015,2,1,4,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,3,1,0,1,0
