study.name,dint,SD,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed,time,outcome
Al.Ahm_Al.Jar,0.5337337,0.4215194,2,0,88,3,2,1,0,99,2,99,1,99,5,0,1,1,1
Al.Ahm_Al.Jar,0.2961166,0.407485,2,0,88,3,2,1,0,99,2,99,1,99,5,0,1,4,1
Al.Ahm_Al.Jar,-0.1553864,0.420161,2,8,88,3,2,1,1,99,2,99,1,99,5,0,1,1,1
Al.Ahm_Al.Jar,0.1310153,0.4356838,2,8,88,3,2,1,1,99,2,99,1,99,5,0,1,4,1
Bitc_Knch_a,0.8740107,0.364885,1,8,88,1,2,1,1,99,2,99,99,99,5,2,1,1,1
Bitc_Knch_a,1.285397,0.3924201,1,8,88,1,2,1,1,99,2,99,99,99,5,2,1,4,1
Bitc_Knch_a,1.3816043,0.387529,1,8,88,1,2,1,0,99,2,99,99,99,5,2,1,1,1
Bitc_Knch_a,0.3954439,0.3730624,1,8,88,1,2,1,0,99,2,99,99,99,5,2,1,4,1
Bitc_Knch_a,0.6841215,0.3890505,1,0,88,1,2,1,0,99,2,99,99,99,5,2,1,1,1
Bitc_Knch_a,0.8404898,0.3895988,1,0,88,1,2,1,0,99,2,99,99,99,5,2,1,4,1
Bitc_Knch_b,0.6852567,0.4367766,1,3,88,1,2,2,0,99,2,99,0,99,5,2,1,1,1
Bitc_Knch_b,0.2844569,0.3506263,1,3,88,1,2,2,0,99,2,99,0,99,5,2,1,4,1
Bitc_Knch_b,0.932902,0.4571172,1,1,88,1,2,2,0,99,2,99,0,99,5,2,1,1,1
Bitc_Knch_b,0.7230505,0.4364765,1,1,88,1,2,2,0,99,2,99,0,99,5,2,1,4,1
Bitc_Knch_b,0.260038,0.3492883,1,3,88,1,2,2,1,99,2,99,0,99,5,2,1,1,1
Bitc_Knch_b,1.0757478,0.4668067,1,3,88,1,2,2,1,99,2,99,0,99,5,2,1,4,1
Bitc_Knch_c,2.2358005,0.6471287,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1,1,1
Bitc_Knch_c,1.2856505,0.5133451,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1,4,1
Bitc_Knch_c,0.7416194,0.453756,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1,4,1
Bitc_Knch_c,1.7747793,0.5027578,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1,4,1
Bitc_Knch_c,1.5274993,0.474139,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1,1,1
Bitc_Knch_c,1.3294903,0.4536651,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1,4,1
Bitc_Knch_c,1.7495244,0.5389631,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1,4,1
Bitc_Knch_c,1.402531,0.4948983,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1,4,1
Bitc_Knch_c,0.9319114,0.4449,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1,1,1
Bitc_Knch_c,2.5361718,0.6217904,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1,4,1
Bitc_Knch_c,1.9821144,0.5418782,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1,4,1
Bitc_Knch_c,1.3165693,0.4616797,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1,4,1
Bitc_Yng_Cmrn,0.6592804,0.3427806,1,8,88,2,3,1,1,99,1,2,2,1,6,99,1,3,1
Bitc_Yng_Cmrn,-0.4935793,0.3745349,1,8,88,3,3,1,1,99,1,2,2,1,6,99,1,3,2
Bitc_Yng_Cmrn,-0.5156586,0.3447386,1,8,88,1,3,1,1,99,1,2,2,1,6,99,1,3,3
Bitc_Yng_Cmrn,-0.6975506,0.3551995,1,0,88,2,3,1,0,99,1,2,2,1,6,99,1,3,1
Bitc_Yng_Cmrn,0.9476399,0.3538175,1,0,88,3,3,1,0,99,1,2,2,1,6,99,1,3,2
Bitc_Yng_Cmrn,0.01103,0.3502183,1,0,88,1,3,1,0,99,1,2,2,1,6,99,1,3,3
Bonilla.etal,1.2461877,0.300688,2,0,88,0,2,1,0,0,0,1,99,1,2,1,1,1,1
Bonilla.etal,0.8090347,0.2824337,2,0,88,0,2,1,0,0,0,1,99,1,2,1,1,3,1
Bonilla.etal,1.6238454,0.3182765,2,2,1,0,2,1,0,0,0,1,99,1,2,1,1,1,1
Bonilla.etal,0.9220182,0.2841778,2,2,1,0,2,1,0,0,0,1,99,1,2,1,1,3,1
Brown,0.557805,0.2331958,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1,2,1
Brown,0.593319,0.2299779,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1,2,1
Brown,0.4156023,0.2219169,2,0,88,1,2,1,0,1,1,2,0,1,2,1,1,2,2
Brown,-0.1324652,0.2205002,2,0,88,1,2,1,0,1,1,2,0,1,2,1,1,2,2
Brown,0.3922565,0.2243231,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1,2,3
Brown,0.2831947,0.2210516,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1,2,3
Brown,0.1924195,0.2228642,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1,2,4
Brown,0.0749261,0.2162692,2,0,88,10,2,1,0,1,1,2,0,1,2,1,1,2,4
Brown,0.2022926,0.2204054,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1,2,1
Brown,0.250094,0.2167234,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1,2,1
Brown,0.0260805,0.2195997,2,2,1,1,2,1,0,1,1,2,0,1,2,1,1,2,2
Brown,0.2669462,0.2178251,2,2,1,1,2,1,0,1,1,2,0,1,2,1,1,2,2
Brown,-0.2091514,0.2217489,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1,2,3
Brown,0.6631468,0.2250425,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1,2,3
Brown,0.0798625,0.2271937,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1,2,4
Brown,0.1317168,0.219841,2,2,1,10,2,1,0,1,1,2,0,1,2,1,1,2,4
Diab_a,0.3191838,0.3558299,2,8,1,10,2,1,0,99,2,99,1,0,2,1,1,1,1
Diab_a,0.2841822,0.3389398,2,8,1,10,2,1,0,99,2,99,1,0,2,1,1,4,1
Diab_a,0.9658362,0.5035235,2,8,1,10,2,1,0,99,2,99,1,0,2,1,1,1,2
Diab_a,0.2620356,0.4064887,2,8,1,10,2,1,0,99,2,99,1,0,2,1,1,4,2
Diab_a,0.2447906,0.3530165,2,3,1,10,2,1,0,99,2,99,1,0,2,1,1,1,1
Diab_a,0.0486597,0.3486216,2,3,1,10,2,1,0,99,2,99,1,0,2,1,1,4,1
Diab_a,1.2619321,0.4862507,2,3,1,10,2,1,0,99,2,99,1,0,2,1,1,1,2
Diab_a,0.2986588,0.3686617,2,3,1,10,2,1,0,99,2,99,1,0,2,1,1,4,2
Diab_b,-0.0241685,0.3318691,2,3,88,10,2,1,0,99,2,99,1,0,77,99,1,1,1
Diab_b,0.0568628,0.3627844,2,3,88,10,2,1,0,99,2,99,1,0,77,99,1,4,1
Diab_b,0.3543327,0.3437381,2,3,88,10,2,1,0,99,2,99,1,0,77,99,1,1,2
Diab_b,-0.6605675,0.34124,2,3,88,10,2,1,0,99,2,99,1,0,77,99,1,4,2
Dlsk_Krlr,0.121189,0.1623625,2,1,88,0,2,1,0,99,1,99,0,0,99,1,1,2,1
Dlsk_Krlr,0.3717738,0.1658835,2,1,88,0,2,1,0,99,1,99,0,0,99,1,1,2,2
Dlsk_Krlr,0.3936643,0.1712595,2,1,88,0,2,1,0,99,1,99,0,1,99,1,1,2,1
Dlsk_Krlr,0.2314312,0.1735109,2,1,88,0,2,1,0,99,1,99,0,1,99,1,1,2,2
Eki_diGnro,0.0150051,0.3660175,1,0,88,1,2,1,0,99,2,99,0,99,5,2,0,1,1
Eki_diGnro,-0.5477378,0.3438788,1,0,88,1,2,1,0,99,2,99,0,99,5,2,0,4,1
Eki_diGnro,0.0969807,0.3555318,1,8,88,1,2,1,0,99,2,99,0,99,5,2,0,1,1
Eki_diGnro,-0.2352528,0.3395071,1,8,88,1,2,1,0,99,2,99,0,99,5,2,0,4,1
Elis_Sh_Mur_Tak,-0.0130216,0.4729582,2,0,88,1,2,1,0,99,2,99,0,0,5,2,0,1,1
Elis_Sh_Mur_Tak,0.7144886,0.5143097,2,0,88,1,2,1,0,99,2,99,0,0,5,2,0,3,1
Elis_Sh_Mur_Tak,1.8857288,0.6446288,2,0,88,1,2,1,0,99,0,99,0,0,5,2,0,1,1
Elis_Sh_Mur_Tak,1.132933,0.5085024,2,0,88,1,2,1,0,99,0,99,0,0,5,2,0,3,1
Ev_Hart_StngKras,1.0936034,0.4087169,1,2,1,0,2,2,0,99,0,1,1,99,2,1,1,2,1
Fazio,-0.130892,0.3634365,1,0,88,0,0,99,0,99,1,99,99,99,6,2,0,2,1
Fazio,-0.5467906,0.3868494,1,1,88,0,0,99,0,99,1,99,99,99,6,2,0,2,1
Frear_Chiu,1.0485025,0.4447738,2,1,88,2,2,99,0,0,2,99,99,0,5,0,0,1,1
Frear_Chiu,1.1609789,0.4335041,2,1,88,2,2,99,0,0,2,99,99,0,5,0,0,2,1
Frear_Chiu,1.0507744,0.4334891,2,1,88,2,2,99,0,0,2,99,99,0,5,0,0,1,1
Frear_Chiu,0.9881051,0.4070035,2,1,88,2,2,99,0,0,2,99,99,0,5,0,0,2,1
Guo,0.6348017,0.2904731,2,1,88,0,2,1,0,0,1,1,0,0,5,0,1,1,1
Guo,0.9076638,0.3078574,2,1,88,0,2,1,0,0,1,1,0,0,5,0,1,3,1
Guo,0.9928717,0.3131202,2,1,88,0,2,1,0,0,1,1,0,0,5,0,1,4,1
Guo,1.2790014,0.3335146,2,2,1,0,2,1,0,0,1,1,0,0,5,0,1,1,1
Guo,0.9394399,0.3138801,2,2,1,0,2,1,0,0,1,1,0,0,5,0,1,3,1
Guo,0.3649804,0.2846224,2,2,1,0,2,1,0,0,1,1,0,0,5,0,1,4,1
Guo,0.5434674,0.2945718,2,3,88,0,2,1,0,0,1,1,0,0,5,0,1,1,1
Guo,0.346734,0.2872462,2,3,88,0,2,1,0,0,1,1,0,0,5,0,1,3,1
Guo,0.9225743,0.3154899,2,3,88,0,2,1,0,0,1,1,0,0,5,0,1,4,1
Guo,0.4973949,0.296206,2,0,88,0,2,1,0,0,1,1,0,0,5,0,1,1,1
Guo,0.9395114,0.309584,2,0,88,0,2,1,0,0,1,1,0,0,5,0,1,3,1
Guo,0.2159263,0.2828027,2,0,88,0,2,1,0,0,1,1,0,0,5,0,1,4,1
Guo,0.8525524,0.3081192,2,8,88,0,2,1,0,0,1,1,0,0,5,0,1,1,1
Guo,0.680117,0.2986936,2,8,88,0,2,1,0,0,1,1,0,0,5,0,1,3,1
Guo,0.7709437,0.3073571,2,8,88,0,2,1,0,0,1,1,0,0,5,0,1,4,1
Harts_Evans,0.9936019,0.4341599,1,2,1,0,2,1,0,99,0,99,1,0,2,1,1,2,1
Hartshorn,0.8304661,0.3106819,1,2,1,1,2,2,0,1,0,1,1,0,2,1,0,2,1
Hartshorn,0.9482234,0.3130748,1,2,1,1,2,2,0,1,0,1,1,0,2,1,0,2,2
Hartshorn,0.3817407,0.3046393,1,2,1,10,2,2,0,1,0,1,1,0,2,1,0,2,3
Hartshorn,-0.250819,0.299156,1,2,1,10,2,2,0,1,0,1,1,0,2,1,0,2,4
Jhowry,-0.0618444,0.4676664,1,1,88,0,2,2,0,0,2,2,0,99,2,1,1,1,1
Jiang_Xiao,1.0680665,0.3045165,2,0,88,1,2,1,0,1,2,1,0,99,5,99,1,1,1
Jiang_Xiao,0.6699853,0.2746266,2,0,88,1,2,1,0,1,2,1,0,99,5,99,1,3,1
Jiang_Xiao,1.3021982,0.3220106,2,0,88,1,2,1,0,1,2,1,0,99,5,99,1,1,1
Jiang_Xiao,0.7841841,0.280595,2,0,88,1,2,1,0,1,2,1,0,99,5,99,1,3,1
Karim_End.,0.4503802,0.3056492,2,0,88,2,2,1,0,99,2,1,99,99,5,1,1,2,1
Karim_End.,1.4367287,0.3683319,2,0,88,2,2,1,0,99,2,1,99,99,5,1,1,3,1
Karim_End.,-0.348525,0.3265641,2,0,88,2,2,1,0,99,2,1,99,99,5,1,1,3,1
Karim_End.,1.060784,0.3494875,2,1,88,2,2,1,0,99,2,1,99,99,5,1,1,2,1
