study.name,YofPub,group.name,n,d,t.pair,df,mdif,sdif,stder,mpre,sdpre,mpos,sdpos,r,rev.sign,rev.group,autoreg,post ,control,cont.type,outcome,time, treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length ,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral
Al_Ajmi ,2015,,25,,,,,,,1.68,1.069,7.4,2.217,,,,,1,F,1,1,0,2,0,0,2,2,2,1,99,99,0,1,1,99,9,0,99,99,0,99,99,10,99,2,2,8,88,0,99,1
Al_Ajmi ,2015,,25,,,,,,,1.68,1.069,8.08,1.754,,,,,2,F,1,1,2,2,0,0,2,2,2,1,99,99,0,1,1,99,9,0,99,99,0,99,99,10,99,2,2,8,88,0,99,1
Al_Ajmi ,2015,,25,,,,,,,1.44,1.083,1.08,1.115,,,,,1,T,1,1,0,0,88,0,2,2,2,1,99,99,0,1,1,99,9,0,99,99,0,99,99,10,99,88,88,88,88,0,99,0
Al_Ajmi ,2015,,25,,,,,,,1.44,1.083,1.48,1.085,,,,,2,T,1,1,2,0,88,0,2,2,2,1,99,99,0,1,1,99,9,0,99,99,0,99,99,10,99,88,88,88,88,0,99,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al.Ahmad_Al.Jarrah,2015,,13,,,,,,,60.348,21.54,74.312,11.36,,,,,1,F,1,1,0,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,3,2,0,88,0,0,0
Al.Ahmad_Al.Jarrah,2015,,13,,,,,,,60.348,21.54,68.874,14.98,,,,,2,F,1,1,8,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,3,2,0,88,0,0,0
Al.Ahmad_Al.Jarrah,2015,,13,,,,,,,82.924,11.38,88.662,11.8,,,,,1,F,1,1,0,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,3,2,8,88,0,0,1
Al.Ahmad_Al.Jarrah,2015,,13,,,,,,,82.924,11.38,90.29,8.4,,,,,2,F,1,1,8,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,3,2,8,88,0,0,1
Al.Ahmad_Al.Jarrah,2015,,13,,,,,,,28.899,13.88,32.521,18.85,,,,,1,T,1,1,0,0,88,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,88,88,88,88,0,0,0
Al.Ahmad_Al.Jarrah,2015,,13,,,,,,,28.899,13.88,39.895,20.84,,,,,2,T,1,1,8,0,88,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,11,99,88,88,88,88,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitchener_Knoch_a  ,2008,,17,,,,,,,67.59,19.26,82.53,14.33,,,,,1,F,0,1,0,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
Bitchener_Knoch_a  ,2008,,17,,,,,,,67.59,19.26,82.65,15.47,,,,,2,F,0,1,7,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
